"word,""count"",""Filename"";""Filename"""
"critical,""4"",""2020-06-11.csv"";"
"helping,""4"",""2020-06-11.csv"";"
"figures,""4"",""2020-06-11.csv"";"
"reengineer,""4"",""2020-06-11.csv"";"
"build,""4"",""2020-06-11.csv"";"
"smiles,""4"",""2020-06-11.csv"";"
"raised,""4"",""2020-06-11.csv"";"
"adam,""4"",""2020-06-11.csv"";"
"enquiry,""4"",""2020-06-11.csv"";"
"leading,""4"",""2020-06-11.csv"";"
"kingdom,""4"",""2020-06-11.csv"";"
"big,""4"",""2020-06-11.csv"";"
"recognise,""4"",""2020-06-11.csv"";"
"peoples,""4"",""2020-06-11.csv"";"
"myself,""4"",""2020-06-11.csv"";"
"son,""4"",""2020-06-11.csv"";"
"wave,""4"",""2020-06-11.csv"";"
"mayor,""4"",""2020-06-11.csv"";"
"speak,""4"",""2020-06-11.csv"";"
"range,""4"",""2020-06-11.csv"";"
"experience,""4"",""2020-06-11.csv"";"
"course,""4"",""2020-06-11.csv"";"
"problems,""4"",""2020-06-11.csv"";"
"inherited,""4"",""2020-06-11.csv"";"
"apologies,""4"",""2020-06-11.csv"";"
"clearly,""4"",""2020-06-11.csv"";"
"present,""4"",""2020-06-11.csv"";"
"might,""4"",""2020-06-11.csv"";"
"family,""4"",""2020-06-11.csv"";"
"dependent,""4"",""2020-06-11.csv"";"
"once,""4"",""2020-06-11.csv"";"
"behind,""4"",""2020-06-11.csv"";"
"2,""4"",""2020-06-11.csv"";"
"suggestions,""4"",""2020-06-11.csv"";"
"stanford,""4"",""2020-06-11.csv"";"
"age,""4"",""2020-06-11.csv"";"
"without,""4"",""2020-06-11.csv"";"
"under,""4"",""2020-06-11.csv"";"
"another,""4"",""2020-06-11.csv"";"
"impossible,""4"",""2020-06-11.csv"";"
"fun,""4"",""2020-06-11.csv"";"
"balance,""4"",""2020-06-11.csv"";"
"too,""4"",""2020-06-11.csv"";"
"regulations,""4"",""2020-06-11.csv"";"
"next,""4"",""2020-06-11.csv"";"
"weeks,""4"",""2020-06-11.csv"";"
"guidelines,""4"",""2020-06-11.csv"";"
"ijust,""4"",""2020-06-11.csv"";"
"between,""4"",""2020-06-11.csv"";"
"situation,""4"",""2020-06-11.csv"";"
"governments,""4"",""2020-06-11.csv"";"
"scheme,""4"",""2020-06-11.csv"";"
"lose,""4"",""2020-06-11.csv"";"
"information,""4"",""2020-06-11.csv"";"
"statistics,""4"",""2020-06-11.csv"";"
"23,""4"",""2020-06-11.csv"";"
"hong,""4"",""2020-06-11.csv"";"
"kong,""4"",""2020-06-11.csv"";"
"deaths,""4"",""2020-06-11.csv"";"
"effective,""4"",""2020-06-11.csv"";"
"showing,""4"",""2020-06-11.csv"";"
"email,""4"",""2020-06-11.csv"";"
"early,""4"",""2020-06-11.csv"";"
"pandemic,""4"",""2020-06-11.csv"";"
"traced,""4"",""2020-06-11.csv"";"
"thirds,""4"",""2020-06-11.csv"";"
"collective,""4"",""2020-06-11.csv"";"
"trusted,""4"",""2020-06-11.csv"";"
"dominic,""4"",""2020-06-11.csv"";"
"cummings,""4"",""2020-06-11.csv"";"
"saved,""4"",""2020-06-11.csv"";"
"shaking,""4"",""2020-06-11.csv"";"
"coronavirus,""4"",""2020-06-11.csv"";"
"staff,""4"",""2020-06-11.csv"";"
"listen,""4"",""2020-06-11.csv"";"
"quicker,""4"",""2020-06-11.csv"";"
"korea,""4"",""2020-06-11.csv"";"
"doctors,""4"",""2020-06-11.csv"";"
"cheek,""4"",""2020-06-11.csv"";"
"model,""4"",""2020-06-11.csv"";"
