word,count,Filename
3696,1,07/05/2020
4000,1,23/01/2020
4000,1,14/05/2020
4000,1,01/10/2020
4050,3,05/03/2020
4060,1,12/11/2020
4096,1,18/06/2020
4296,1,14/05/2020
4500,3,16/04/2020
4595,3,13/02/2020
4596,9,13/02/2020
5000,3,30/01/2020
5000,1,20/02/2020
5000,1,30/04/2020
5000,1,07/05/2020
5011,1,13/02/2020
5060,2,07/05/2020
5060,1,01/10/2020
5096,1,16/01/2020
5096,3,23/01/2020
5096,2,13/02/2020
5096,1,05/03/2020
5096,4,16/04/2020
5096,1,30/04/2020
5096,2,14/05/2020
5096,1,04/06/2020
5096,1,11/06/2020
5096,1,12/11/2020
5096,5,03/12/2020
5296,1,04/06/2020
5395,1,16/01/2020
5575,1,23/01/2020
5575,1,16/04/2020
5575,1,14/05/2020
5575,1,21/05/2020
5575,1,18/06/2020
5575,1,10/12/2020
5596,2,13/02/2020
5596,1,14/05/2020
5596,1,11/06/2020
5796,1,02/04/2020
6000,2,27/02/2020
6000,1,16/04/2020
6096,1,13/02/2020
6096,1,26/03/2020
6096,1,14/05/2020
6396,1,16/01/2020
6596,1,13/02/2020
6655,3,19/03/2020
7000,1,30/01/2020
7000,1,27/02/2020
7090,1,07/05/2020
7096,2,23/01/2020
7096,1,30/01/2020
7096,1,07/05/2020
7096,1,14/05/2020
7096,2,21/05/2020
7096,2,03/12/2020
7496,1,11/06/2020
7500,1,22/10/2020
7596,2,19/03/2020
7596,2,29/10/2020
8000,1,27/02/2020
8000,1,26/03/2020
8000,1,30/04/2020
8000,1,15/10/2020
8000,1,22/10/2020
8096,2,13/02/2020
8096,3,27/02/2020
8096,1,19/03/2020
8096,4,26/03/2020
8096,3,16/04/2020
8096,1,14/05/2020
8096,2,21/05/2020
8096,1,04/06/2020
8096,1,11/06/2020
8096,1,01/10/2020
8096,2,29/10/2020
9095,1,18/06/2020
9096,1,07/05/2020
9096,3,14/05/2020
9096,2,11/06/2020
9096,1,18/06/2020
9096,1,03/12/2020
9496,1,11/06/2020
9596,1,16/01/2020
9596,2,30/01/2020
9596,1,27/02/2020
9596,2,26/03/2020
9697,3,19/11/2020
9796,1,14/05/2020
9988,1,12/03/2020
10000,2,30/01/2020
10000,1,20/02/2020
10000,3,19/03/2020
10000,1,26/03/2020
10000,1,02/04/2020
10000,6,21/05/2020
10000,3,04/06/2020
10000,1,18/06/2020
10096,1,23/01/2020
10096,2,27/02/2020
10096,5,16/04/2020
10096,1,03/12/2020
12000,1,11/06/2020
12500,1,30/04/2020
13000,1,21/05/2020
15000,1,13/02/2020
15000,1,27/02/2020
15000,3,28/05/2020
15005,3,25/06/2020
16000,2,17/09/2020
16000,2,29/10/2020
17000,2,20/02/2020
17000,1,27/02/2020
18000,1,06/02/2020
18000,2,07/05/2020
18005,1,12/11/2020
18245,1,25/06/2020
19000,1,18/06/2020
19205,1,27/02/2020
19405,2,16/01/2020
19505,1,20/02/2020
19505,1,10/12/2020
19605,1,10/12/2020
19705,1,21/05/2020
19705,1,25/06/2020
19805,1,22/10/2020
19805,1,10/12/2020
19905,1,22/10/2020
20000,6,23/01/2020
20000,1,30/04/2020
20000,3,14/05/2020
20000,1,11/06/2020
20005,1,30/04/2020
20405,1,23/01/2020
24000,4,21/05/2020
24000,2,26/11/2020
25000,5,20/02/2020
25000,1,12/03/2020
25000,7,19/03/2020
25000,1,26/03/2020
25000,5,02/04/2020
25000,1,30/04/2020
25000,11,21/05/2020
25000,1,28/05/2020
25000,3,04/06/2020
25000,7,11/06/2020
25000,1,03/12/2020
27000,2,11/06/2020
28000,3,11/06/2020
30000,1,20/02/2020
30000,2,07/05/2020
30000,4,14/05/2020
30600,1,07/05/2020
31000,1,24/09/2020
31015,1,09/01/2020
33000,1,07/05/2020
35000,3,16/04/2020
38000,1,25/06/2020
40000,2,27/02/2020
40000,2,02/04/2020
40000,3,04/06/2020
40000,1,01/10/2020
43000,1,01/10/2020
43000,1,12/11/2020
46000,1,28/05/2020
46000,1,29/10/2020
47000,1,30/01/2020
50000,1,12/03/2020
50000,8,26/03/2020
50000,2,30/04/2020
50000,4,04/06/2020
50000,3,08/10/2020
56000,2,30/01/2020
60000,6,14/05/2020
60000,3,04/06/2020
60000,1,01/10/2020
60000,2,10/12/2020
61000,3,27/02/2020
64000,1,26/03/2020
64000,5,10/12/2020
65000,1,21/05/2020
71600,4,14/05/2020
76000,6,14/05/2020
76600,3,14/05/2020
77777,1,04/06/2020
79575,1,13/02/2020
79575,1,26/03/2020
80000,4,11/06/2020
81000,4,17/09/2020
81500,2,30/04/2020
90000,1,26/03/2020
90000,3,30/04/2020
90000,1,18/06/2020
99000,3,26/03/2020
100000,2,27/02/2020
100000,1,26/03/2020
100000,11,02/04/2020
100000,3,16/04/2020
100000,12,30/04/2020
100000,9,07/05/2020
100000,3,04/06/2020
100000,1,01/10/2020
100000,2,08/10/2020
100000,1,15/10/2020
100000,3,26/11/2020
100002,1,16/04/2020
120000,3,30/04/2020
120000,1,14/05/2020
122000,1,05/03/2020
122000,2,16/04/2020
126000,7,14/05/2020
127000,4,14/05/2020
200000,1,20/02/2020
200000,1,04/06/2020
200405,1,20/02/2020
201518,3,10/12/2020
201819,1,25/06/2020
204096,1,23/01/2020
211111,2,05/03/2020
211111,2,26/03/2020
240000,6,17/09/2020
250000,1,26/03/2020
250000,2,02/04/2020
250000,4,16/04/2020
250000,1,17/09/2020
260000,1,11/06/2020
260000,1,24/09/2020
300000,2,16/04/2020
350000,1,24/09/2020
360000,1,17/09/2020
400000,1,26/03/2020
418000,1,11/06/2020
440000,1,14/05/2020
450000,1,22/10/2020
500000,2,26/03/2020
500000,2,16/04/2020
500000,14,14/05/2020
500000,1,11/06/2020
500000,1,17/09/2020
500000,1,08/10/2020
500000,2,05/11/2020
506096,1,07/05/2020
600000,1,25/06/2020
650000,1,12/11/2020
700000,1,26/03/2020
750000,6,24/09/2020
850000,3,27/02/2020
850000,1,25/06/2020
1015000,1,01/10/2020
3000050,1,14/05/2020
7777777,1,04/06/2020
50008000,4,02/04/2020
,,
?,1,23/01/2020
?,1,30/01/2020
?,1,06/02/2020
?,2,27/02/2020
?,3,19/03/2020
?,1,02/04/2020
?,1,09/04/2020
?,1,16/04/2020
?,2,21/05/2020
?,1,28/05/2020
?,1,04/06/2020
?,1,18/06/2020
?,1,25/06/2020
?,1,24/09/2020
?,2,15/10/2020
?,1,03/12/2020
?,1,10/12/2020
?ag,2,13/02/2020
?ag,1,09/04/2020
?agship,2,23/01/2020
?ak,1,09/01/2020
?areup,5,07/05/2020
?areup,2,21/05/2020
?areups,1,07/05/2020
?areups,2,14/05/2020
?at,2,26/03/2020
?at,1,09/04/2020
?at,1,16/04/2020
?at,2,04/06/2020
?ats,4,26/03/2020
?ats,4,09/04/2020
?atten,2,09/04/2020
?attening,3,02/04/2020
?attening,1,30/04/2020
?avour,1,09/04/2020
?avour,1,18/06/2020
?aw,1,27/02/2020
?aw,1,19/03/2020
?axibility,1,25/06/2020
?ea,2,21/05/2020
?ee,1,29/10/2020
?eeing,1,29/10/2020
?eet,2,30/04/2020
?exibility,2,07/05/2020
?exibility,2,21/05/2020
?exibility,5,25/06/2020
?exiworking,1,12/03/2020
